,new_cases_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Africa,Asia,Europe,North America,Oceania,South America
90,4027.924,1.716,15.115,0.2895,3.5,70.17,68.45,54.24,50.93,1935.907,32.4,2.372,1.387,43290.705,1.65,151.689,16.52,5.8,37.6,72.704,2.0,77.29,0.852,0,1,0,0,0,0
91,79.096,0.186,0.268,0.3081,3.2,58.5,37.5,0.9,68.52,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,0,1,0,0,0,0
92,73.318,0.216,0.264,0.3018,3.3,58.5,37.5,0.9,68.52,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,0,1,0,0,0,0
93,69.728,0.198,0.26,0.2925,3.4,58.5,37.5,0.9,68.52,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,0,1,0,0,0,0
94,54.431,0.18,0.254,0.2776,3.6,58.5,37.5,0.9,68.52,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,0,1,0,0,0,0
95,50.264,0.216,0.255,0.2692,3.7,58.5,37.5,0.9,68.52,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,0,1,0,0,0,0
96,50.179,0.174,0.252,0.26,3.8,58.5,37.5,0.9,68.52,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,0,1,0,0,0,0
97,56.337,0.228,0.251,0.2466,4.1,58.5,37.5,0.9,68.52,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,0,1,0,0,0,0
98,2731.937,3.476,1.0314999999999999,0.20350000000000001,4.9,55.27,51.32,11.22,59.26,664.463,39.8,14.952,9.473,16978.068,2.2,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,0,0,0,1,0,0
99,2366.983,3.476,1.0314999999999999,0.20350000000000001,4.9,55.27,51.32,11.22,59.26,664.463,39.8,14.952,9.473,16978.068,2.2,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,0,0,0,1,0,0
